Time,Count,Predicted,Accuracy,Density
21:02:46,4,4,17.05,Low
21:02:46,5,4,13.55,Low
21:02:46,5,4,20.36,Low
21:02:46,5,4,20.31,Low
21:02:46,5,4,29.02,Low
21:02:46,1,4,52.89,Low
21:02:46,1,3,51.99,Low
21:02:46,1,3,51.98,Low
21:02:47,1,3,32.15,Low
21:02:47,1,2,32.81,Low
21:02:47,1,2,28.36,Low
21:02:47,1,2,28.7,Low
21:02:47,1,2,35.36,Low
21:02:47,1,2,50.59,Low
21:02:47,1,2,39.57,Low
21:02:47,1,2,39.37,Low
21:02:47,1,2,39.22,Low
21:02:48,1,2,55.64,Low
21:02:48,1,2,68.68,Low
21:02:48,2,2,62.99,Low
21:02:48,3,1,62.67,Low
21:02:48,3,1,61.34,Low
21:02:48,3,1,61.76,Low
21:02:48,3,1,62.21,Low
21:02:48,3,1,55.05,Low
21:02:49,3,1,56.75,Low
21:02:49,3,1,57.45,Low
21:02:49,3,1,56.93,Low
21:02:49,3,1,64.68,Low
21:02:49,3,2,63.99,Low
21:02:49,3,2,65.73,Low
21:02:49,3,2,64.75,Low
21:02:49,3,2,66.47,Low
21:02:49,3,2,67.08,Low
21:02:50,3,2,62.77,Low
21:02:50,3,2,65.69,Low
21:02:50,3,2,63.04,Low
21:02:50,3,2,59.23,Low
21:02:50,3,2,49.04,Low
21:02:50,3,3,48.75,Low
21:02:50,3,3,48.29,Low
21:02:50,3,3,58.08,Low
21:02:51,3,3,61.09,Low
21:02:51,3,3,67.35,Low
21:02:51,3,3,76.97,Low
21:02:51,3,3,74.76,Low
21:02:51,3,3,74.69,Low
21:02:51,3,3,71.88,Low
21:02:51,3,3,72.4,Low
21:02:51,3,3,71.26,Low
21:02:51,3,3,63.97,Low
21:02:52,3,3,67.24,Low
21:02:52,4,3,61.63,Low
21:02:52,4,3,57.75,Low
21:02:52,4,3,63.32,Low
21:02:52,4,3,64.59,Low
21:02:52,4,3,57.23,Low
21:02:52,4,3,62.79,Low
21:02:52,4,3,62.86,Low
21:02:53,4,3,63.07,Low
21:02:53,3,3,73.71,Low
21:02:53,3,3,76.21,Low
21:02:53,3,3,72.25,Low
21:02:53,3,3,69.07,Low
21:02:53,3,3,68.59,Low
21:02:53,4,3,60.07,Low
21:02:53,4,3,52.99,Low
21:02:53,3,3,54.1,Low
21:02:53,2,3,58.09,Low
21:02:53,2,3,59.2,Low
21:02:53,3,3,47.97,Low
21:02:53,2,3,56.25,Low
21:02:54,1,3,83.43,Low
21:02:54,2,3,53.71,Low
21:02:54,3,3,50.49,Low
21:02:54,3,3,53.82,Low
21:02:54,3,2,54.06,Low
21:02:54,3,2,54.14,Low
21:02:54,3,2,54.14,Low
21:02:54,3,2,57.3,Low
21:02:54,3,2,49.19,Low
21:02:54,3,2,56.65,Low
21:02:54,3,2,56.38,Low
21:02:54,3,2,52.65,Low
21:02:55,3,2,52.53,Low
21:02:55,2,2,63.92,Low
21:02:55,2,2,60.71,Low
21:02:55,2,2,66.72,Low
21:02:55,2,2,67.16,Low
21:02:55,3,2,54.49,Low
21:02:55,4,2,58.16,Low
21:02:55,4,2,57.18,Low
21:02:56,4,2,58.87,Low
21:02:56,4,3,62.27,Low
21:02:56,4,3,61.9,Low
21:02:56,4,3,62.79,Low
21:02:56,4,3,64.25,Low
21:02:56,4,3,62.67,Low
21:02:56,5,3,54.93,Low
21:02:56,4,3,63.94,Low
21:02:56,4,3,64.11,Low
21:02:57,5,3,59.61,Low
21:02:57,5,3,62.2,Low
21:02:57,5,3,57.59,Low
21:02:57,5,3,50.79,Low
21:02:57,6,4,47.42,Low
21:02:57,6,4,47.13,Low
21:02:57,4,4,54.23,Low
21:02:57,4,4,57.73,Low
21:02:58,3,4,69.22,Low
21:02:58,4,4,61.44,Low
21:02:58,4,4,64.15,Low
21:02:58,5,4,60.3,Low
21:02:58,4,4,58.26,Low
21:02:58,4,4,53.79,Low
21:02:58,5,4,56.73,Low
21:02:58,4,4,57.3,Low
21:02:59,4,4,57.67,Low
21:02:59,4,4,58.07,Low
21:02:59,4,4,57.84,Low
21:02:59,4,4,52.11,Low
21:02:59,4,4,58.62,Low
21:02:59,4,4,58.21,Low
21:02:59,4,4,44.67,Low
21:02:59,3,4,51.2,Low
21:03:00,3,4,64.18,Low
21:03:00,3,3,68.38,Low
21:03:00,4,3,64.12,Low
21:03:00,4,3,62.73,Low
21:03:00,4,3,61.98,Low
21:03:00,4,3,60.34,Low
21:03:00,4,3,57.27,Low
21:03:00,4,3,56.42,Low
21:03:00,3,3,73.12,Low
21:03:01,3,3,66.41,Low
21:03:01,3,3,73.91,Low
21:03:01,3,3,74.44,Low
21:03:01,3,3,69.46,Low
21:03:01,3,3,54.34,Low
21:03:01,2,3,58.79,Low
21:03:01,1,3,50.74,Low
21:03:01,1,3,67.29,Low
21:03:02,2,3,54.24,Low
21:03:02,1,2,67.98,Low
21:03:02,1,2,78.3,Low
21:03:02,1,2,58.92,Low
21:03:02,1,2,49.05,Low
21:03:02,1,2,41.18,Low
21:03:02,1,2,41.32,Low
21:03:02,1,2,47.49,Low
21:03:02,2,2,26.88,Low
21:03:03,2,1,25.25,Low
21:03:03,2,1,22.17,Low
21:03:03,2,1,14.4,Low
21:03:03,2,1,14.29,Low
21:03:03,2,1,13.88,Low
21:03:03,2,1,18.75,Low
21:03:03,1,1,17.71,Low
21:03:03,2,1,10.72,Low
21:03:04,3,1,15.04,Low
21:03:04,2,1,16.36,Low
21:03:04,1,1,11.82,Low
21:03:04,2,1,13.11,Low
21:03:04,1,1,15.11,Low
21:03:04,0,1,0.0,Low
21:03:04,1,1,12.17,Low
21:03:04,1,1,12.25,Low
21:03:04,2,1,12.42,Low
21:03:05,3,1,14.06,Low
21:03:05,1,1,11.55,Low
21:03:05,2,1,22.92,Low
21:03:05,5,1,16.61,Low
21:03:05,5,2,16.6,Low
21:03:05,5,2,17.3,Low
21:03:05,4,2,22.71,Low
21:03:05,5,2,21.38,Low
21:03:06,3,2,24.3,Low
21:03:06,3,2,28.75,Low
21:03:06,1,2,36.71,Low
21:03:06,3,2,22.67,Low
21:03:06,2,2,21.71,Low
21:03:06,2,2,22.4,Low
21:03:06,1,2,37.98,Low
21:03:06,1,2,43.19,Low
21:03:06,3,2,36.55,Low
21:03:07,2,2,35.39,Low
21:03:07,1,2,30.09,Low
21:03:07,1,2,40.79,Low
21:03:07,1,2,35.04,Low
21:03:07,2,2,54.78,Low
21:03:07,2,2,54.13,Low
21:03:07,2,2,53.71,Low
21:03:07,2,2,60.62,Low
21:03:08,3,2,55.25,Low
21:03:08,3,2,53.42,Low
21:03:08,4,2,46.79,Low
21:03:08,4,2,65.78,Low
21:03:08,5,2,58.5,Low
21:03:08,4,2,59.67,Low
21:03:08,4,2,64.84,Low
21:03:08,3,2,72.25,Low
21:03:09,3,2,56.99,Low
21:03:09,3,2,51.72,Low
21:03:09,3,2,51.58,Low
21:03:09,4,2,60.24,Low
21:03:09,4,2,64.79,Low
21:03:09,4,3,51.8,Low
21:03:09,4,3,59.65,Low
21:03:09,4,3,57.94,Low
21:03:10,4,3,58.36,Low
21:03:10,4,3,67.79,Low
21:03:10,4,3,74.29,Low
21:03:10,5,3,61.45,Low
21:03:10,5,3,64.35,Low
21:03:10,5,4,69.97,Low
21:03:10,6,4,63.64,Low
21:03:10,6,4,58.02,Low
21:03:11,5,4,66.03,Low
21:03:11,5,4,69.58,Low
21:03:11,5,4,71.98,Low
21:03:11,5,4,70.95,Low
21:03:11,8,4,59.19,Medium
21:03:11,6,4,68.28,Low
21:03:11,6,4,67.01,Low
21:03:11,7,5,61.58,Low
21:03:12,7,5,59.29,Low
21:03:12,7,5,56.9,Low
21:03:12,7,5,56.21,Low
21:03:12,7,5,57.69,Low
21:03:12,7,5,59.28,Low
21:03:12,7,6,65.75,Low
21:03:12,7,6,59.18,Low
21:03:12,7,6,61.34,Low
21:03:12,7,6,61.3,Low
21:03:13,6,6,67.57,Low
21:03:13,6,6,68.68,Low
21:03:13,6,6,68.29,Low
21:03:13,6,6,68.08,Low
